segment_id,segment_type,fanout,kv_bytes,home_bank,replicas,avg_hops_before,avg_hops_after,noc_bytes_before,noc_bytes_after,hotspot_before,hotspot_after,eligible_shared
4f2fc9a43643203550f1d1fb,system,22,745472.0,"[4, 4]","[[2, 5]]",7.681818181818182,1.7727272727272727,5543329792.0,1279229952.0,5.593445612774276,3.3523014177510198,True
319f2129c2577a19f9f2c010,tool_schema,22,1318912.0,"[4, 4]","[[2, 5]]",7.681818181818182,1.7727272727272727,9807429632.0,2263252992.0,5.593445612774276,3.3523014177510198,True
768d165082fced681da76150,task,4,688128.0,"[2, 3]","[[3, 6]]",6.5,1.0,143130624.0,22020096.0,5.593445612774276,3.3523014177510198,True
db6ffc55c3a0d416a976ca4c,repo,4,194338816.0,"[2, 3]","[[3, 6]]",6.5,1.0,40422473728.0,6218842112.0,5.593445612774276,3.3523014177510198,True
7406a61f3af95bd290dbc849,history,4,158728192.0,"[2, 3]","[[3, 6]]",6.5,1.0,33015463936.0,5079302144.0,5.593445612774276,3.3523014177510198,True
3b9e86894240e4e9a5330ef5,branch_suffix,1,117669888.0,"[2, 3]",[],5.0,0.0,1176698880.0,0.0,5.593445612774276,3.3523014177510198,False
9ad1e392d831ca901f4bf911,branch_suffix,1,117669888.0,"[2, 5]",[],7.0,0.0,1647378432.0,0.0,5.593445612774276,3.3523014177510198,False
e891795d9a7579a198bac614,branch_suffix,1,117669888.0,"[3, 2]",[],5.0,0.0,1176698880.0,0.0,5.593445612774276,3.3523014177510198,False
effbac9492cea179c6ba6230,branch_suffix,1,117669888.0,"[3, 6]",[],9.0,0.0,2118057984.0,0.0,5.593445612774276,3.3523014177510198,False
d114285bb38007229ecb5e0b,test_log,1,19439616.0,"[3, 6]",[],9.0,0.0,174956544.0,0.0,5.593445612774276,3.3523014177510198,False
c54f9fd3060a241aa4b4acee,branch_suffix,1,39395328.0,"[3, 6]",[],9.0,0.0,354557952.0,0.0,5.593445612774276,3.3523014177510198,False
4afd0fd8d6db551832f47208,test_log,1,12156928.0,"[2, 5]",[],7.0,0.0,85098496.0,0.0,5.593445612774276,3.3523014177510198,False
68384b3ece1d94db402d4b8e,branch_suffix,1,39395328.0,"[2, 5]",[],7.0,0.0,275767296.0,0.0,5.593445612774276,3.3523014177510198,False
44474ac297bbc6f8468a9eca,test_log,1,21848064.0,"[3, 2]",[],5.0,0.0,109240320.0,0.0,5.593445612774276,3.3523014177510198,False
172efa7b06aeda91c032dc1c,branch_suffix,1,39395328.0,"[3, 2]",[],5.0,0.0,196976640.0,0.0,5.593445612774276,3.3523014177510198,False
191e8c5bd52e3de3f78bc117,test_log,1,19955712.0,"[2, 3]",[],5.0,0.0,99778560.0,0.0,5.593445612774276,3.3523014177510198,False
7b2b1c489ba0565aa41bc4fe,branch_suffix,1,39395328.0,"[2, 3]",[],5.0,0.0,196976640.0,0.0,5.593445612774276,3.3523014177510198,False
912735434e5c751db480eb37,task,8,688128.0,"[3, 4]","[[4, 3]]",7.5,1.0,660602880.0,88080384.0,5.593445612774276,3.3523014177510198,True
4f7053fb20f8767089493844,repo,8,65142784.0,"[3, 4]","[[4, 3]]",7.5,1.0,62537072640.0,8338276352.0,5.593445612774276,3.3523014177510198,True
67e307a8f2881126f4e54c26,history,8,53043200.0,"[3, 4]","[[4, 3]]",7.5,1.0,50921472000.0,6789529600.0,5.593445612774276,3.3523014177510198,True
00fc31edc00b9b1e0c638aaa,branch_suffix,1,117669888.0,"[4, 4]",[],8.0,0.0,1882718208.0,0.0,5.593445612774276,3.3523014177510198,False
0a7eeeb51a9f3c4fac49ccd8,branch_suffix,1,117669888.0,"[3, 4]",[],7.0,0.0,1647378432.0,0.0,5.593445612774276,3.3523014177510198,False
d0e8822d7b5c3d0ca426573b,branch_suffix,1,117669888.0,"[4, 3]",[],7.0,0.0,1647378432.0,0.0,5.593445612774276,3.3523014177510198,False
0973a38617df221a93b840c5,branch_suffix,1,117669888.0,"[4, 5]",[],9.0,0.0,2118057984.0,0.0,5.593445612774276,3.3523014177510198,False
0be2f0fb8b33ed7f64be0970,branch_suffix,1,117669888.0,"[5, 4]",[],9.0,0.0,2118057984.0,0.0,5.593445612774276,3.3523014177510198,False
99095c4edb17f87d1b593c6f,branch_suffix,1,117669888.0,"[2, 4]",[],6.0,0.0,1412038656.0,0.0,5.593445612774276,3.3523014177510198,False
783c80232532254b868a2ed0,branch_suffix,1,117669888.0,"[3, 3]",[],6.0,0.0,1412038656.0,0.0,5.593445612774276,3.3523014177510198,False
de65b5f4e84fc6dc59f8e361,branch_suffix,1,117669888.0,"[3, 5]",[],8.0,0.0,1882718208.0,0.0,5.593445612774276,3.3523014177510198,False
fe1f7ac3a1009dfaa2ea901b,test_log,1,16228352.0,"[4, 5]",[],9.0,0.0,146055168.0,0.0,5.593445612774276,3.3523014177510198,False
0a207070688d08116cfb79c5,branch_suffix,1,39395328.0,"[4, 5]",[],9.0,0.0,354557952.0,0.0,5.593445612774276,3.3523014177510198,False
eac7580f475f68c285aee9c5,test_log,1,12673024.0,"[3, 3]",[],6.0,0.0,76038144.0,0.0,5.593445612774276,3.3523014177510198,False
0edfff252d377447eae6ad69,branch_suffix,1,39395328.0,"[3, 3]",[],6.0,0.0,236371968.0,0.0,5.593445612774276,3.3523014177510198,False
25a2a8b25871cc6ef9c2e1af,test_log,1,16629760.0,"[5, 4]",[],9.0,0.0,149667840.0,0.0,5.593445612774276,3.3523014177510198,False
f12eb3baf64982f5e4f5e6f0,branch_suffix,1,39395328.0,"[5, 4]",[],9.0,0.0,354557952.0,0.0,5.593445612774276,3.3523014177510198,False
ab51f565a2ba36ddbf18dfd5,test_log,1,12558336.0,"[4, 4]",[],8.0,0.0,100466688.0,0.0,5.593445612774276,3.3523014177510198,False
b9be41f49e12623e8f5f43f8,branch_suffix,1,39395328.0,"[4, 4]",[],8.0,0.0,315162624.0,0.0,5.593445612774276,3.3523014177510198,False
788b287dcbde49fc3ae4ff5f,test_log,1,22937600.0,"[2, 4]",[],6.0,0.0,137625600.0,0.0,5.593445612774276,3.3523014177510198,False
75f2304e229231a7ae97165d,branch_suffix,1,39395328.0,"[2, 4]",[],6.0,0.0,236371968.0,0.0,5.593445612774276,3.3523014177510198,False
79c574332a45a623767e017c,test_log,1,19439616.0,"[4, 3]",[],7.0,0.0,136077312.0,0.0,5.593445612774276,3.3523014177510198,False
b1522945939626fdfac2f344,branch_suffix,1,39395328.0,"[4, 3]",[],7.0,0.0,275767296.0,0.0,5.593445612774276,3.3523014177510198,False
6830ae6fc030d0525c22e8d5,test_log,1,17948672.0,"[3, 5]",[],8.0,0.0,143589376.0,0.0,5.593445612774276,3.3523014177510198,False
4e4ed4acfff4a9e7bb647597,branch_suffix,1,39395328.0,"[3, 5]",[],8.0,0.0,315162624.0,0.0,5.593445612774276,3.3523014177510198,False
727a51f857697f4bcc1f45e3,test_log,1,12615680.0,"[3, 4]",[],7.0,0.0,88309760.0,0.0,5.593445612774276,3.3523014177510198,False
a9578d1115098955a1abf8a2,branch_suffix,1,39395328.0,"[3, 4]",[],7.0,0.0,275767296.0,0.0,5.593445612774276,3.3523014177510198,False
07bb698403ece6c20058586b,task,4,688128.0,"[4, 2]","[[5, 6]]",8.5,1.0,187170816.0,22020096.0,5.593445612774276,3.3523014177510198,True
13687f32a04d8e70b589289c,repo,4,65142784.0,"[4, 2]","[[5, 6]]",8.5,1.0,17718837248.0,2084569088.0,5.593445612774276,3.3523014177510198,True
b5aadf88a1b34ecbc0eda2dc,history,4,53043200.0,"[4, 2]","[[5, 6]]",8.5,1.0,14427750400.0,1697382400.0,5.593445612774276,3.3523014177510198,True
ff9d60736c46ea242a3e590b,branch_suffix,1,117669888.0,"[4, 1]",[],5.0,0.0,1176698880.0,0.0,5.593445612774276,3.3523014177510198,False
d993ac262928c2c03fcfbea8,branch_suffix,1,117669888.0,"[4, 7]",[],11.0,0.0,2588737536.0,0.0,5.593445612774276,3.3523014177510198,False
