segment_id,segment_type,length,start_pos,fanout,access_count,exact_prefix_reusable,kv_bytes,repeated_prefill_tokens,exact_prefix_reusable_tokens
96ebaedcc016f1d6ce55382b,system,13,0,4,20,True,745472,39,13
3bf90076621bd9bcac02f943,task,15,13,4,4,True,860160,45,15
cef252867d7bfe7eb7f6e496,repo,3082,28,4,20,True,176734208,9246,3082
20203e931305df8952002d8b,branch_suffix,1028,3110,4,20,False,58949632,3084,0
3e1d22b229f3c480b5567583,branch_suffix,12,4138,1,5,False,688128,0,0
25f450fbbbefc90005a084ed,branch_suffix,12,4138,1,5,False,688128,0,0
07895ce52d641fd97afc5909,branch_suffix,12,4138,1,5,False,688128,0,0
898f234200a49058391d9381,branch_suffix,12,4138,1,5,False,688128,0,0
37c46df7406b7391ef8275bd,task,15,13,4,4,True,860160,45,15
93ab8802e4651815685be1ac,task,15,13,4,4,True,860160,45,15
e6ccf2610b4d0a06bb8f7fb3,task,15,13,4,4,True,860160,45,15
d855fcfbfb92bc3d8d0176fd,task,15,13,4,4,True,860160,45,15
