row_type,policy,event_id,actual_command_class,actual_canonical_tool_key,actual_artifacts,launched_artifacts,artifact_hit,exact_command_hit,class_hit,tool_latency,tool_latency_hidden,wasted_speculative_work,worker_contention,storage_overhead,safety_violations,miss_reason,simulated_tool_jct,events,mean_jct,p95_jct,artifact_hit_rate,exact_command_hit_rate,class_hit_rate,cost_overhead,p95_jct_gain,mean_jct_gain,artifact_miss_reasons,stp_ae_gain
event,no_stp,astropy__astropy-12907:b0:tool1,python_inspect,python_inspect:shell-chain:9cefcfb3f67b0b5b,[],[],false,false,false,1.4176177978515625,0.0,0,0.0,0,0,unsafe,1.4176177978515625,,,,,,,,,,,
event,stp_exact_v2,astropy__astropy-12907:b0:tool1,python_inspect,python_inspect:shell-chain:9cefcfb3f67b0b5b,[],[],false,false,false,1.4176177978515625,0.0,0,0.0,0,0,unsafe,1.4176177978515625,,,,,,,,,,,
event,stp_ae_top1,astropy__astropy-12907:b0:tool1,python_inspect,python_inspect:shell-chain:9cefcfb3f67b0b5b,[],"[""DIRECTORY_LISTING:.:*""]",false,false,false,1.4176177978515625,0.0,0.02,0.005,1024,0,unsafe,1.4176177978515625,,,,,,,,,,,
event,stp_ae_top3_budgeted,astropy__astropy-12907:b0:tool1,python_inspect,python_inspect:shell-chain:9cefcfb3f67b0b5b,[],"[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:/testbed:*"", ""DIRECTORY_LISTING:tests:*""]",false,false,false,1.4176177978515625,0.0,0.06,0.015,3072,0,unsafe,1.4176177978515625,,,,,,,,,,,
event,stp_ae_sandbox,astropy__astropy-12907:b0:tool1,python_inspect,python_inspect:shell-chain:9cefcfb3f67b0b5b,[],[],false,false,false,1.4176177978515625,0.0,0,0.0,0,0,unsafe,1.4176177978515625,,,,,,,,,,,
event,stp_class_upper_bound,astropy__astropy-12907:b0:tool1,python_inspect,python_inspect:shell-chain:9cefcfb3f67b0b5b,[],[],false,false,false,1.4176177978515625,0.0,0,0.0,0,0,unsafe,1.4176177978515625,,,,,,,,,,,
event,stp_oracle_upper_bound,astropy__astropy-12907:b0:tool1,python_inspect,python_inspect:shell-chain:9cefcfb3f67b0b5b,[],[],false,false,false,1.4176177978515625,0.0,0,0.0,0,0,unsafe,1.4176177978515625,,,,,,,,,,,
event,no_stp,astropy__astropy-12907:b1:tool5,git_read,git_read:git -- diff astropy/modeling/separable.py > patch.txt:d49c0e41c5fb8c33,[],[],false,false,false,0.18763184547424316,0.0,0,0.0,0,0,unsafe,0.18763184547424316,,,,,,,,,,,
event,stp_exact_v2,astropy__astropy-12907:b1:tool5,git_read,git_read:git -- diff astropy/modeling/separable.py > patch.txt:d49c0e41c5fb8c33,[],[],false,false,false,0.18763184547424316,0.0,0,0.0,0,0,unsafe,0.18763184547424316,,,,,,,,,,,
event,stp_ae_top1,astropy__astropy-12907:b1:tool5,git_read,git_read:git -- diff astropy/modeling/separable.py > patch.txt:d49c0e41c5fb8c33,[],[],false,false,false,0.18763184547424316,0.0,0,0.0,0,0,unsafe,0.18763184547424316,,,,,,,,,,,
event,stp_ae_top3_budgeted,astropy__astropy-12907:b1:tool5,git_read,git_read:git -- diff astropy/modeling/separable.py > patch.txt:d49c0e41c5fb8c33,[],[],false,false,false,0.18763184547424316,0.0,0,0.0,0,0,unsafe,0.18763184547424316,,,,,,,,,,,
event,stp_ae_sandbox,astropy__astropy-12907:b1:tool5,git_read,git_read:git -- diff astropy/modeling/separable.py > patch.txt:d49c0e41c5fb8c33,[],[],false,false,false,0.18763184547424316,0.0,0,0.0,0,0,unsafe,0.18763184547424316,,,,,,,,,,,
event,stp_class_upper_bound,astropy__astropy-12907:b1:tool5,git_read,git_read:git -- diff astropy/modeling/separable.py > patch.txt:d49c0e41c5fb8c33,[],[],false,false,false,0.18763184547424316,0.0,0,0.0,0,0,unsafe,0.18763184547424316,,,,,,,,,,,
event,stp_oracle_upper_bound,astropy__astropy-12907:b1:tool5,git_read,git_read:git -- diff astropy/modeling/separable.py > patch.txt:d49c0e41c5fb8c33,[],[],false,false,false,0.18763184547424316,0.0,0,0.0,0,0,unsafe,0.18763184547424316,,,,,,,,,,,
event,no_stp,astropy__astropy-12907:b2:tool7,shell_other,shell_other:nano astropy/modeling/separable.py:9150b3b3304121c2,[],[],false,false,false,0.19180870056152344,0.0,0,0.0,0,0,unsafe,0.19180870056152344,,,,,,,,,,,
event,stp_exact_v2,astropy__astropy-12907:b2:tool7,shell_other,shell_other:nano astropy/modeling/separable.py:9150b3b3304121c2,[],[],false,false,false,0.19180870056152344,0.0,0,0.0,0,0,unsafe,0.19180870056152344,,,,,,,,,,,
event,stp_ae_top1,astropy__astropy-12907:b2:tool7,shell_other,shell_other:nano astropy/modeling/separable.py:9150b3b3304121c2,[],[],false,false,false,0.19180870056152344,0.0,0,0.0,0,0,unsafe,0.19180870056152344,,,,,,,,,,,
event,stp_ae_top3_budgeted,astropy__astropy-12907:b2:tool7,shell_other,shell_other:nano astropy/modeling/separable.py:9150b3b3304121c2,[],[],false,false,false,0.19180870056152344,0.0,0,0.0,0,0,unsafe,0.19180870056152344,,,,,,,,,,,
event,stp_ae_sandbox,astropy__astropy-12907:b2:tool7,shell_other,shell_other:nano astropy/modeling/separable.py:9150b3b3304121c2,[],[],false,false,false,0.19180870056152344,0.0,0,0.0,0,0,unsafe,0.19180870056152344,,,,,,,,,,,
