run_id,instance_id,rollout_id,status,log_path,message
mini_swe_lite10_r4_timed,django__django-12308,rollout_0,success,data/logs/mini_swe_lite10_r4_timed/django__django-12308/rollout_0.log,returncode=0; cli=swebench-single-timed; trajectory=data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12308/_mini_extra_rollout_0/trajectory.traj.json
mini_swe_lite10_r4_timed,django__django-12308,rollout_1,trajectory_with_error,data/logs/mini_swe_lite10_r4_timed/django__django-12308/rollout_1.log,returncode=1; cli=swebench-single-timed; trajectory=data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12308/_mini_extra_rollout_1/trajectory.traj.json
mini_swe_lite10_r4_timed,django__django-12308,rollout_2,trajectory_with_error,data/logs/mini_swe_lite10_r4_timed/django__django-12308/rollout_2.log,returncode=1; cli=swebench-single-timed; trajectory=data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12308/_mini_extra_rollout_2/trajectory.traj.json
mini_swe_lite10_r4_timed,django__django-12308,rollout_3,trajectory_with_error,data/logs/mini_swe_lite10_r4_timed/django__django-12308/rollout_3.log,returncode=1; cli=swebench-single-timed; trajectory=data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12308/_mini_extra_rollout_3/trajectory.traj.json
mini_swe_lite10_r4_timed,django__django-12708,rollout_0,trajectory_with_error,data/logs/mini_swe_lite10_r4_timed/django__django-12708/rollout_0.log,returncode=1; cli=swebench-single-timed; trajectory=data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12708/_mini_extra_rollout_0/trajectory.traj.json
mini_swe_lite10_r4_timed,django__django-12708,rollout_1,trajectory_with_error,data/logs/mini_swe_lite10_r4_timed/django__django-12708/rollout_1.log,returncode=1; cli=swebench-single-timed; trajectory=data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12708/_mini_extra_rollout_1/trajectory.traj.json
mini_swe_lite10_r4_timed,django__django-12708,rollout_2,trajectory_with_error,data/logs/mini_swe_lite10_r4_timed/django__django-12708/rollout_2.log,returncode=1; cli=swebench-single-timed; trajectory=data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12708/_mini_extra_rollout_2/trajectory.traj.json
mini_swe_lite10_r4_timed,django__django-12708,rollout_3,trajectory_with_error,data/logs/mini_swe_lite10_r4_timed/django__django-12708/rollout_3.log,returncode=1; cli=swebench-single-timed; trajectory=data/raw_trajs/mini_swe_lite10_r4_timed/django__django-12708/_mini_extra_rollout_3/trajectory.traj.json
mini_swe_lite10_r4_timed,django__django-11848,rollout_0,trajectory_with_error,data/logs/mini_swe_lite10_r4_timed/django__django-11848/rollout_0.log,returncode=1; cli=swebench-single-timed; trajectory=data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11848/_mini_extra_rollout_0/trajectory.traj.json
mini_swe_lite10_r4_timed,django__django-11848,rollout_1,trajectory_with_error,data/logs/mini_swe_lite10_r4_timed/django__django-11848/rollout_1.log,returncode=1; cli=swebench-single-timed; trajectory=data/raw_trajs/mini_swe_lite10_r4_timed/django__django-11848/_mini_extra_rollout_1/trajectory.traj.json
