run_id,instance_id,llm_measured_time,tool_measured_time,verifier_measured_time,missing_timing_events,timing_available
mini_swe_lite10_r4,astropy__astropy-12907,0,0,0,82,false
mini_swe_lite10_r4,django__django-11815,0,0,0,82,false
mini_swe_lite10_r4,django__django-11848,0,0,0,80,false
mini_swe_lite10_r4,django__django-11964,0,0,0,84,false
mini_swe_lite10_r4,django__django-11999,0,0,0,84,false
mini_swe_lite10_r4,django__django-12125,0,0,0,84,false
mini_swe_lite10_r4,django__django-12308,0,0,0,76,false
mini_swe_lite10_r4,django__django-12708,0,0,0,84,false
mini_swe_lite10_r4,django__django-13028,0,0,0,82,false
mini_swe_lite10_r4,django__django-13033,0,0,0,84,false
