row_type,event_id,command_class,actual_artifacts,predicted_artifacts,artifact_top1_hit,artifact_top3_hit,snapshot_hash_available,snapshot_hash_source,validation_rows,artifact_coverage,file_artifact_hit,dir_artifact_hit,grep_artifact_hit,git_artifact_hit,sandbox_test_artifact_hit,read_only_artifact_coverage,sandbox_artifact_coverage,artifact_equivalent_not_class_match
example,astropy__astropy-12907:b0:tool1,python_inspect,[],"[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:/testbed:*"", ""DIRECTORY_LISTING:tests:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,astropy__astropy-12907:b1:tool5,git_read,"[""GIT_DIFF:.:*""]","[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:tests:*"", ""DIRECTORY_LISTING:/testbed:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,astropy__astropy-12907:b2:tool7,shell_other,[],"[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:tests:*"", ""DIRECTORY_LISTING:/testbed:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,astropy__astropy-12907:b2:tool8,shell_other,[],"[""DIRECTORY_LISTING:.:*"", ""FILE_CONTENT:astropy/modeling/separable.py:*"", ""DIRECTORY_LISTING:/testbed:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,astropy__astropy-12907:b3:tool3,shell_other,[],"[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:/testbed:*"", ""DIRECTORY_LISTING:tests:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,astropy__astropy-12907:b3:tool7,shell_other,[],"[""DIRECTORY_LISTING:.:*"", ""FILE_CONTENT:astropy/modeling/separable.py:*"", ""DIRECTORY_LISTING:/testbed:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,astropy__astropy-12907:b3:tool9,shell_other,[],"[""DIRECTORY_LISTING:.:*"", ""FILE_CONTENT:astropy/modeling/separable.py:*"", ""DIRECTORY_LISTING:/testbed:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11815:b0:tool5,file_read,[],"[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:tests:*"", ""DIRECTORY_LISTING:/testbed:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11815:b0:tool6,list_find,"[""DIRECTORY_LISTING:.:*""]","[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:tests:*"", ""DIRECTORY_LISTING:/testbed:*""]",true,true,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11815:b1:tool5,list_find,"[""DIRECTORY_LISTING:.:*""]","[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:/testbed:*"", ""DIRECTORY_LISTING:tests:*""]",true,true,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11815:b1:tool6,python_inspect,[],"[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:tests:*"", ""DIRECTORY_LISTING:/testbed:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11815:b2:tool2,grep_search,"[""GREP_INDEX:.:Status\\.""]","[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:/testbed:*"", ""GREP_INDEX:.:default=""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11815:b2:tool7,git_read,"[""GIT_DIFF:.:*""]","[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:tests:*"", ""DIRECTORY_LISTING:/testbed:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11815:b2:tool8,file_read,"[""FILE_CONTENT:patch.txt:*""]","[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:/testbed:*"", ""DIRECTORY_LISTING:tests:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11815:b3:tool7,grep_search,"[""GREP_INDEX:/path/to/project:default=""]","[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:/testbed:*"", ""GREP_INDEX:.:default=Enum\\[""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11815:b3:tool8,grep_search,"[""GREP_INDEX:.:default=""]","[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:/testbed:*"", ""GREP_INDEX:.:default=""]",false,true,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11848:b0:tool5,shell_other,[],"[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:/testbed:*"", ""GREP_INDEX:.:default=""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11848:b0:tool7,file_read,"[""FILE_CONTENT:django/utils/http.py:*""]","[""DIRECTORY_LISTING:.:*"", ""FILE_CONTENT:django/utils/http.py:*"", ""FILE_CONTENT:django/contrib/admin/utils.py:*""]",false,true,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11848:b1:tool3,file_read,"[""FILE_CONTENT:django/utils/http.py:*""]","[""DIRECTORY_LISTING:.:*"", ""FILE_CONTENT:django/utils/http.py:*"", ""FILE_CONTENT:django/contrib/admin/utils.py:*""]",false,true,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11848:b1:tool6,test,[],"[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:/testbed:*"", ""DIRECTORY_LISTING:tests:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11848:b1:tool9,shell_other,[],"[""DIRECTORY_LISTING:.:*"", ""FILE_CONTENT:django/utils/http.py:*"", ""FILE_CONTENT:django/contrib/admin/utils.py:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11848:b2:tool3,file_read,"[""FILE_CONTENT:django/utils/http.py:*""]","[""DIRECTORY_LISTING:.:*"", ""FILE_CONTENT:django/utils/http.py:*"", ""FILE_CONTENT:django/contrib/admin/utils.py:*""]",false,true,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11848:b2:tool4,shell_other,[],"[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:tests:*"", ""GREP_INDEX:.:def parse_http_date""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11848:b3:tool6,file_read,"[""FILE_CONTENT:patch.txt:*""]","[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:/testbed:*"", ""DIRECTORY_LISTING:tests:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11964:b1:tool5,shell_other,[],"[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:tests:*"", ""DIRECTORY_LISTING:/testbed:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11964:b2:tool0,file_read,[],"[""DIRECTORY_LISTING:.:*"", ""GREP_INDEX:.:def parse_http_date"", ""FILE_CONTENT:models.py:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11964:b2:tool4,file_read,[],"[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:tests:*"", ""DIRECTORY_LISTING:/testbed:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11964:b2:tool5,list_find,"[""DIRECTORY_LISTING:tests:*""]","[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:tests:*"", ""DIRECTORY_LISTING:/testbed:*""]",false,true,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11964:b2:tool7,list_find,"[""DIRECTORY_LISTING:tests:*""]","[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:tests:*"", ""DIRECTORY_LISTING:/testbed:*""]",false,true,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11964:b3:tool1,file_read,[],"[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:tests:*"", ""DIRECTORY_LISTING:/testbed:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11964:b3:tool7,list_find,"[""DIRECTORY_LISTING:tests:*""]","[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:tests:*"", ""DIRECTORY_LISTING:/testbed:*""]",false,true,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11964:b3:tool8,file_read,[],"[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:tests:*"", ""DIRECTORY_LISTING:/testbed:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11964:b3:tool9,list_find,"[""DIRECTORY_LISTING:tests:*""]","[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:tests:*"", ""DIRECTORY_LISTING:/testbed:*""]",false,true,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11999:b0:tool0,list_find,"[""DIRECTORY_LISTING:models.py:*""]","[""DIRECTORY_LISTING:.:*"", ""GREP_INDEX:.:def parse_http_date"", ""FILE_CONTENT:models.py:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11999:b0:tool3,list_find,"[""DIRECTORY_LISTING:core:*""]","[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:tests:*"", ""DIRECTORY_LISTING:/testbed:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11999:b0:tool4,list_find,"[""DIRECTORY_LISTING:contrib:*""]","[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:tests:*"", ""DIRECTORY_LISTING:/testbed:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11999:b1:tool1,grep_search,"[""GIT_LOG:.:log -p django/db/models/base.py""]","[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:/testbed:*"", ""GREP_INDEX:.:default=""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11999:b1:tool4,list_find,"[""DIRECTORY_LISTING:.:*""]","[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:/testbed:*"", ""DIRECTORY_LISTING:tests:*""]",true,true,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11999:b1:tool9,python_inspect,[],"[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:/testbed:*"", ""DIRECTORY_LISTING:tests:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
example,django__django-11999:b2:tool9,test,"[""TEST_RESULT_SANDBOXED:.:test:pip install -q unittest:29afd90c9d7fd56d""]","[""DIRECTORY_LISTING:.:*"", ""DIRECTORY_LISTING:/testbed:*"", ""DIRECTORY_LISTING:tests:*""]",false,false,true,trace_branch_step_fallback,,,,,,,,,,
aggregate,,,,,0.05263157894736842,0.18947368421052632,,,95,0.4421052631578947,0.5,0.7058823529411765,0.2222222222222222,0.0,0.0,1.0,0.0,true
