run_id,instance_id,llm_measured_time,tool_measured_time,verifier_measured_time,missing_timing_events,timing_available
mini_swe_lite10_r4_timed,astropy__astropy-12907,40.540080547332764,175.82221174240112,0.0,1,true
mini_swe_lite10_r4_timed,django__django-11815,35.69570541381836,24.100297689437866,0.0,1,true
mini_swe_lite10_r4_timed,django__django-11848,24.00141453742981,15.304910659790039,0.0,1,true
mini_swe_lite10_r4_timed,django__django-11964,33.95720839500427,24.89570188522339,0.0,0,true
mini_swe_lite10_r4_timed,django__django-11999,41.38577747344971,12.333598852157593,0.0,0,true
mini_swe_lite10_r4_timed,django__django-12125,41.327757835388184,273.88112449645996,0.0,0,true
mini_swe_lite10_r4_timed,django__django-12308,28.945350408554077,54.78055691719055,0.0,1,true
mini_swe_lite10_r4_timed,django__django-12708,35.943278074264526,10.338328838348389,0.0,0,true
mini_swe_lite10_r4_timed,django__django-13028,39.903717279434204,36.6770658493042,0.0,0,true
mini_swe_lite10_r4_timed,django__django-13033,30.72704577445984,9.591531753540039,0.0,0,true
