model,objective,policy,train_rows,median_abs_error,p95_abs_error,split_type,policy_a,policy_b
listwise,p95_opt,reactive_admission,260,0.08463371233466965,0.3042910621045384,random,,
listwise,p95_opt,acd_nisp,260,0.08463371233466965,0.3042910621045384,random,,
listwise,p95_opt,taps_domain_v4,260,0.2903938861586622,1.0393492963120716,random,,
listwise,p95_opt,taps_admission_v4,260,0.10501695945445483,0.316730558804616,random,,
listwise,p95_opt,taps_unified_v5,260,0.08319502550110552,0.23220328528527046,random,,
listwise,p95_opt,taps_unified_adaptive_v6,260,0.08029049906572094,0.22360304787680726,random,,
pairwise,p95_opt,,260,0.0,0.0,random,reactive_admission,acd_nisp
pairwise,p95_opt,,260,0.19597524573445757,0.7675099209015412,random,reactive_admission,taps_domain_v4
pairwise,p95_opt,,260,0.032946772578123035,0.21020361887652902,random,reactive_admission,taps_admission_v4
pairwise,p95_opt,,260,0.05185904010447884,0.23567171535997566,random,reactive_admission,taps_unified_v5
pairwise,p95_opt,,260,0.04236281081593135,0.23273002212826152,random,reactive_admission,taps_unified_adaptive_v6
pairwise,p95_opt,,260,0.19597524573445757,0.7675099209015412,random,acd_nisp,taps_domain_v4
pairwise,p95_opt,,260,0.032946772578123035,0.21020361887652902,random,acd_nisp,taps_admission_v4
pairwise,p95_opt,,260,0.05185904010447884,0.23567171535997566,random,acd_nisp,taps_unified_v5
pairwise,p95_opt,,260,0.04236281081593135,0.23273002212826152,random,acd_nisp,taps_unified_adaptive_v6
pairwise,p95_opt,,260,0.19924113070859306,1.0880530340750887,random,taps_domain_v4,taps_admission_v4
pairwise,p95_opt,,260,0.22688302396960303,1.049129435714632,random,taps_domain_v4,taps_unified_v5
pairwise,p95_opt,,260,0.2200159585773147,1.0920837263850451,random,taps_domain_v4,taps_unified_adaptive_v6
pairwise,p95_opt,,260,0.04030642118365177,0.22287974179660067,random,taps_admission_v4,taps_unified_v5
pairwise,p95_opt,,260,0.03674186577320584,0.23615601309709333,random,taps_admission_v4,taps_unified_adaptive_v6
pairwise,p95_opt,,260,0.018238298593367487,0.07499939662192234,random,taps_unified_v5,taps_unified_adaptive_v6
listwise,throughput_opt,reactive_admission,260,0.1548812113266672,0.3597960851813704,random,,
listwise,throughput_opt,acd_nisp,260,0.1548812113266672,0.3597960851813704,random,,
listwise,throughput_opt,taps_domain_v4,260,0.14509872080573125,0.5039672128019721,random,,
listwise,throughput_opt,taps_admission_v4,260,0.08827036962419968,0.40179783090213417,random,,
listwise,throughput_opt,taps_unified_v5,260,0.10013047846032169,0.4004334496999504,random,,
listwise,throughput_opt,taps_unified_adaptive_v6,260,0.09536149123960519,0.39542511137885455,random,,
pairwise,throughput_opt,,260,0.0,0.0,random,reactive_admission,acd_nisp
pairwise,throughput_opt,,260,0.04150530547207287,0.1611800633499509,random,reactive_admission,taps_domain_v4
pairwise,throughput_opt,,260,0.09282487964838203,0.21133614238111917,random,reactive_admission,taps_admission_v4
pairwise,throughput_opt,,260,0.08676507257373448,0.21911025419300212,random,reactive_admission,taps_unified_v5
pairwise,throughput_opt,,260,0.09177531605479253,0.21853928920747695,random,reactive_admission,taps_unified_adaptive_v6
pairwise,throughput_opt,,260,0.04150530547207287,0.1611800633499509,random,acd_nisp,taps_domain_v4
pairwise,throughput_opt,,260,0.09282487964838203,0.21133614238111917,random,acd_nisp,taps_admission_v4
pairwise,throughput_opt,,260,0.08676507257373448,0.21911025419300212,random,acd_nisp,taps_unified_v5
pairwise,throughput_opt,,260,0.09177531605479253,0.21853928920747695,random,acd_nisp,taps_unified_adaptive_v6
pairwise,throughput_opt,,260,0.09680712822635923,0.2555476245839883,random,taps_domain_v4,taps_admission_v4
pairwise,throughput_opt,,260,0.10119450774826139,0.2678344762986987,random,taps_domain_v4,taps_unified_v5
pairwise,throughput_opt,,260,0.09496606979580197,0.2598317390425478,random,taps_domain_v4,taps_unified_adaptive_v6
pairwise,throughput_opt,,260,0.01168377393137851,0.08055490599830054,random,taps_admission_v4,taps_unified_v5
pairwise,throughput_opt,,260,0.013153427824816544,0.07865757705046168,random,taps_admission_v4,taps_unified_adaptive_v6
pairwise,throughput_opt,,260,0.007054077278094019,0.02869760224878803,random,taps_unified_v5,taps_unified_adaptive_v6
listwise,balanced,reactive_admission,260,0.14741460760404762,0.5486220798518091,random,,
listwise,balanced,acd_nisp,260,0.14741460760404762,0.5486220798518091,random,,
listwise,balanced,taps_domain_v4,260,0.3592054393797749,1.3168809201883178,random,,
listwise,balanced,taps_admission_v4,260,0.14527398844784917,0.5046321798840916,random,,
