event_id,policy,predicted_artifact,launched,reason,expected_benefit,expected_cost,safety_level,snapshot_hash
astropy__astropy-12907:b0:tool1,stp_ae_top1,DIRECTORY_LISTING:.:*,true,launched,0.33609175754535525,0.023,READ_ONLY_ARTIFACT,f45432fb450684eb
astropy__astropy-12907:b0:tool1,stp_ae_top1,DIRECTORY_LISTING:/testbed:*,false,not_selected,0.27145872724817155,0.023,READ_ONLY_ARTIFACT,f45432fb450684eb
astropy__astropy-12907:b0:tool1,stp_ae_top1,DIRECTORY_LISTING:tests:*,false,not_selected,0.08186850504309935,0.023,READ_ONLY_ARTIFACT,f45432fb450684eb
astropy__astropy-12907:b0:tool1,stp_ae_top3_budgeted,DIRECTORY_LISTING:.:*,true,launched,0.33609175754535525,0.023,READ_ONLY_ARTIFACT,f45432fb450684eb
astropy__astropy-12907:b0:tool1,stp_ae_top3_budgeted,DIRECTORY_LISTING:/testbed:*,true,launched,0.27145872724817155,0.023,READ_ONLY_ARTIFACT,f45432fb450684eb
astropy__astropy-12907:b0:tool1,stp_ae_top3_budgeted,DIRECTORY_LISTING:tests:*,true,launched,0.08186850504309935,0.023,READ_ONLY_ARTIFACT,f45432fb450684eb
astropy__astropy-12907:b0:tool1,stp_ae_sandbox,DIRECTORY_LISTING:.:*,false,low_confidence,0.33609175754535525,0.023,READ_ONLY_ARTIFACT,f45432fb450684eb
astropy__astropy-12907:b0:tool1,stp_ae_sandbox,DIRECTORY_LISTING:/testbed:*,false,low_confidence,0.27145872724817155,0.023,READ_ONLY_ARTIFACT,f45432fb450684eb
astropy__astropy-12907:b0:tool1,stp_ae_sandbox,DIRECTORY_LISTING:tests:*,false,low_confidence,0.08186850504309935,0.023,READ_ONLY_ARTIFACT,f45432fb450684eb
astropy__astropy-12907:b1:tool5,stp_ae_top1,DIRECTORY_LISTING:.:*,false,low_confidence,0.04349814885257504,0.023,READ_ONLY_ARTIFACT,c3de79f947b134b0
astropy__astropy-12907:b1:tool5,stp_ae_top1,FILE_CONTENT:astropy/modeling/separable.py:*,false,low_confidence,0.03243929744937799,0.028,READ_ONLY_ARTIFACT,c3de79f947b134b0
astropy__astropy-12907:b1:tool5,stp_ae_top1,DIRECTORY_LISTING:tests:*,false,low_confidence,0.01585102034458243,0.023,READ_ONLY_ARTIFACT,c3de79f947b134b0
astropy__astropy-12907:b1:tool5,stp_ae_top3_budgeted,DIRECTORY_LISTING:.:*,false,low_confidence,0.04349814885257504,0.023,READ_ONLY_ARTIFACT,c3de79f947b134b0
astropy__astropy-12907:b1:tool5,stp_ae_top3_budgeted,FILE_CONTENT:astropy/modeling/separable.py:*,false,low_confidence,0.03243929744937799,0.028,READ_ONLY_ARTIFACT,c3de79f947b134b0
astropy__astropy-12907:b1:tool5,stp_ae_top3_budgeted,DIRECTORY_LISTING:tests:*,false,low_confidence,0.01585102034458243,0.023,READ_ONLY_ARTIFACT,c3de79f947b134b0
astropy__astropy-12907:b1:tool5,stp_ae_sandbox,DIRECTORY_LISTING:.:*,false,low_confidence,0.04349814885257504,0.023,READ_ONLY_ARTIFACT,c3de79f947b134b0
astropy__astropy-12907:b1:tool5,stp_ae_sandbox,FILE_CONTENT:astropy/modeling/separable.py:*,false,low_confidence,0.03243929744937799,0.028,READ_ONLY_ARTIFACT,c3de79f947b134b0
astropy__astropy-12907:b1:tool5,stp_ae_sandbox,DIRECTORY_LISTING:tests:*,false,low_confidence,0.01585102034458243,0.023,READ_ONLY_ARTIFACT,c3de79f947b134b0
astropy__astropy-12907:b2:tool7,stp_ae_top1,DIRECTORY_LISTING:.:*,false,low_confidence,0.04909637020880643,0.023,READ_ONLY_ARTIFACT,c0309c3eb8ac5e5e
astropy__astropy-12907:b2:tool7,stp_ae_top1,DIRECTORY_LISTING:tests:*,false,low_confidence,0.017891050160836242,0.023,READ_ONLY_ARTIFACT,c0309c3eb8ac5e5e
astropy__astropy-12907:b2:tool7,stp_ae_top1,FILE_CONTENT:astropy/modeling/separable.py:*,false,low_confidence,0.016642837358917435,0.028,READ_ONLY_ARTIFACT,c0309c3eb8ac5e5e
astropy__astropy-12907:b2:tool7,stp_ae_top3_budgeted,DIRECTORY_LISTING:.:*,false,low_confidence,0.04909637020880643,0.023,READ_ONLY_ARTIFACT,c0309c3eb8ac5e5e
astropy__astropy-12907:b2:tool7,stp_ae_top3_budgeted,DIRECTORY_LISTING:tests:*,false,low_confidence,0.017891050160836242,0.023,READ_ONLY_ARTIFACT,c0309c3eb8ac5e5e
astropy__astropy-12907:b2:tool7,stp_ae_top3_budgeted,FILE_CONTENT:astropy/modeling/separable.py:*,false,low_confidence,0.016642837358917435,0.028,READ_ONLY_ARTIFACT,c0309c3eb8ac5e5e
astropy__astropy-12907:b2:tool7,stp_ae_sandbox,DIRECTORY_LISTING:.:*,false,low_confidence,0.04909637020880643,0.023,READ_ONLY_ARTIFACT,c0309c3eb8ac5e5e
astropy__astropy-12907:b2:tool7,stp_ae_sandbox,DIRECTORY_LISTING:tests:*,false,low_confidence,0.017891050160836242,0.023,READ_ONLY_ARTIFACT,c0309c3eb8ac5e5e
astropy__astropy-12907:b2:tool7,stp_ae_sandbox,FILE_CONTENT:astropy/modeling/separable.py:*,false,low_confidence,0.016642837358917435,0.028,READ_ONLY_ARTIFACT,c0309c3eb8ac5e5e
astropy__astropy-12907:b2:tool8,stp_ae_top1,FILE_CONTENT:astropy/modeling/separable.py:*,false,low_confidence,0.050969752442910195,0.028,READ_ONLY_ARTIFACT,f40870612cbc8489
astropy__astropy-12907:b2:tool8,stp_ae_top1,DIRECTORY_LISTING:.:*,false,low_confidence,0.013450351339101302,0.023,READ_ONLY_ARTIFACT,f40870612cbc8489
astropy__astropy-12907:b2:tool8,stp_ae_top1,PYTHON_INSPECTION_RESULT:.:python_inspect:python reproduce_issue.py:0e557e2abf644304,false,low_confidence,0.009556828583045662,0.083,READ_ONLY_ARTIFACT,f40870612cbc8489
astropy__astropy-12907:b2:tool8,stp_ae_top3_budgeted,FILE_CONTENT:astropy/modeling/separable.py:*,false,low_confidence,0.050969752442910195,0.028,READ_ONLY_ARTIFACT,f40870612cbc8489
astropy__astropy-12907:b2:tool8,stp_ae_top3_budgeted,DIRECTORY_LISTING:.:*,false,low_confidence,0.013450351339101302,0.023,READ_ONLY_ARTIFACT,f40870612cbc8489
astropy__astropy-12907:b2:tool8,stp_ae_top3_budgeted,PYTHON_INSPECTION_RESULT:.:python_inspect:python reproduce_issue.py:0e557e2abf644304,false,low_confidence,0.009556828583045662,0.083,READ_ONLY_ARTIFACT,f40870612cbc8489
astropy__astropy-12907:b2:tool8,stp_ae_sandbox,FILE_CONTENT:astropy/modeling/separable.py:*,false,low_confidence,0.050969752442910195,0.028,READ_ONLY_ARTIFACT,f40870612cbc8489
