trace_dir,instance_id,branch_id,tool_events,patch_snapshot_events,file_modification_events,modified_files_seen,git_diff_name_count,snapshot_errors
data/traces/mini_swe_lite10_r4_timed,astropy__astropy-12907,b0,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,astropy__astropy-12907,b1,8,0,0,0,0,8
data/traces/mini_swe_lite10_r4_timed,astropy__astropy-12907,b2,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,astropy__astropy-12907,b3,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-11815,b0,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-11815,b1,9,0,0,0,0,9
data/traces/mini_swe_lite10_r4_timed,django__django-11815,b2,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-11815,b3,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-11848,b0,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-11848,b1,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-11848,b2,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-11848,b3,8,0,0,0,0,8
data/traces/mini_swe_lite10_r4_timed,django__django-11964,b0,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-11964,b1,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-11964,b2,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-11964,b3,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-11999,b0,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-11999,b1,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-11999,b2,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-11999,b3,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-12125,b0,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-12125,b1,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-12125,b2,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-12125,b3,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-12308,b0,9,0,0,0,0,9
data/traces/mini_swe_lite10_r4_timed,django__django-12308,b1,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-12308,b2,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-12308,b3,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-12708,b0,9,0,0,0,0,9
data/traces/mini_swe_lite10_r4_timed,django__django-12708,b1,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-12708,b2,9,0,0,0,0,9
data/traces/mini_swe_lite10_r4_timed,django__django-12708,b3,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-13028,b0,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-13028,b1,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-13028,b2,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-13028,b3,9,0,0,0,0,9
data/traces/mini_swe_lite10_r4_timed,django__django-13033,b0,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-13033,b1,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-13033,b2,10,0,0,0,0,10
data/traces/mini_swe_lite10_r4_timed,django__django-13033,b3,10,0,0,0,0,10
data/traces/mini_swe_lite5_patchcap_verified,django__django-11848,b0,15,0,0,0,0,15
data/traces/mini_swe_lite5_patchcap_verified,django__django-11964,b0,15,0,0,0,0,15
data/traces/mini_swe_lite5_patchcap_verified,django__django-12308,b0,15,0,0,0,0,15
data/traces/mini_swe_lite5_patchcap_verified,django__django-12708,b0,15,0,0,0,0,15
data/traces/mini_swe_lite5_patchcap_verified,django__django-13028,b0,15,0,0,0,0,15
