run_id,instance_id,num_llm_events,num_tool_events,num_verifier_events,missing_timing_events,unknown_verifier_results,official_verifier_results,branch_count,has_at_least_2_llm,has_at_least_1_tool,timing_available,measured_agent_jct
mini_swe_lite10_r4_timed,astropy__astropy-12907,38,38,4,1,4,0,4,true,true,true,251.3901710510254
mini_swe_lite10_r4_timed,django__django-11815,39,39,4,1,4,0,4,true,true,true,90.46156287193298
mini_swe_lite10_r4_timed,django__django-11848,38,38,4,1,4,0,4,true,true,true,72.51501417160034
mini_swe_lite10_r4_timed,django__django-11964,40,40,4,0,4,0,4,true,true,true,93.29407811164856
mini_swe_lite10_r4_timed,django__django-11999,40,40,4,0,4,0,4,true,true,true,86.4316577911377
mini_swe_lite10_r4_timed,django__django-12125,40,40,4,0,4,0,4,true,true,true,352.938937664032
mini_swe_lite10_r4_timed,django__django-12308,39,39,4,1,4,0,4,true,true,true,119.61377000808716
mini_swe_lite10_r4_timed,django__django-12708,38,38,4,0,4,0,4,true,true,true,83.23624753952026
mini_swe_lite10_r4_timed,django__django-13028,39,39,4,0,4,0,4,true,true,true,115.03899598121643
mini_swe_lite10_r4_timed,django__django-13033,40,40,4,0,4,0,4,true,true,true,72.18357944488525
