run_id,config_id,branch_id,event_id,tool_type,tool_latency,predicted_tool_latency,state_residency,shared_prefix_bytes,private_suffix_bytes,observation_delta_bytes,parked_state_bytes,recompute_tokens_if_evicted,actual_reuse_after_tool,memory_pressure,eviction_reason
pr4_v12_acd_nisp_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64,aligned_v10_stratified:ts16:al16:er16:arrbursty:mem64,b0,astropy__astropy-12907:b0:llm0,unknown,0.0,0.0,NONE,0,0,0,0,1654,False,1.0,not_parked_or_cold
pr4_v12_acd_nisp_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64,aligned_v10_stratified:ts16:al16:er16:arrbursty:mem64,b1,astropy__astropy-12907:b1:llm0,unknown,0.0,0.0,NONE,0,0,0,0,1654,False,1.0,not_parked_or_cold
pr4_v12_acd_nisp_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64,aligned_v10_stratified:ts16:al16:er16:arrbursty:mem64,b2,astropy__astropy-12907:b2:llm0,unknown,0.0,0.0,NONE,0,0,0,0,1654,False,1.0,not_parked_or_cold
pr4_v12_acd_nisp_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64,aligned_v10_stratified:ts16:al16:er16:arrbursty:mem64,b3,astropy__astropy-12907:b3:llm0,unknown,0.0,0.0,NONE,0,0,0,0,1654,False,1.0,not_parked_or_cold
pr4_v12_acd_nisp_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64,aligned_v10_stratified:ts16:al16:er16:arrbursty:mem64,b0,django__django-11815:b0:llm0,unknown,0.0,0.0,NONE,0,0,0,0,1690,False,1.0,not_parked_or_cold
pr4_v12_acd_nisp_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64,aligned_v10_stratified:ts16:al16:er16:arrbursty:mem64,b1,django__django-11815:b1:llm0,unknown,0.0,0.0,NONE,0,0,0,0,1821,False,1.0,not_parked_or_cold
pr4_v12_acd_nisp_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64,aligned_v10_stratified:ts16:al16:er16:arrbursty:mem64,b2,django__django-11815:b2:llm0,unknown,0.0,0.0,NONE,0,0,0,0,1690,False,1.0,not_parked_or_cold
pr4_v12_acd_nisp_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64,aligned_v10_stratified:ts16:al16:er16:arrbursty:mem64,b3,django__django-11815:b3:llm0,unknown,0.0,0.0,NONE,0,0,0,0,1690,False,1.0,not_parked_or_cold
pr4_v12_acd_nisp_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64,aligned_v10_stratified:ts16:al16:er16:arrbursty:mem64,b0,django__django-11848:b0:llm0,unknown,0.0,0.0,NONE,0,0,0,0,1508,False,1.0,not_parked_or_cold
pr4_v12_acd_nisp_aligned_v10_stratified_ts16_al16_er16_arrbursty_mem64,aligned_v10_stratified:ts16:al16:er16:arrbursty:mem64,b1,django__django-11848:b1:llm0,unknown,0.0,0.0,NONE,0,0,0,0,1508,False,1.0,not_parked_or_cold
